"UID","uuid","sector","facility_id"
"DUUM","83f23adfb099c84619b02f3cf787b9f8","E","EDUUM"
"VUZL","f47a6c53757afc0ecf7363bc578c1ea9","E","EVUZL"
"KMTJ","44b9119f6bfc1efeaea1dfeb22aad63b","E","EKMTJ"
"YNTZ","c7ebba42260b9f02f4a748fbd4a226e0","E","EYNTZ"
"LDPE","e588e7434f74e68b2f54390925f644a1","E","ELDPE"
"INDV","e9ed2ec89463dfbbf1638c9b359daec8","E","EINDV"
"EGUB","b61b8274982efa8069b27b84da619c4d","E","EEGUB"
"NNKK","c482732fd98e02b8ec7fc2738208ea27","E","ENNKK"
"AJRD","1a19d2de3572848bffeac274f9fab47f","E","EAJRD"
"HPAF","005ddcf3546eeb368bcf3beedb3b9afb","E","EHPAF"
"MJWV","61254adf4b166d7986ae336c188a38c7","E","EMJWV"
"NISS","e1d115cddb851b81572d9e5db14c6b26","E","ENISS"
"GNYG","5d40205fa27d5c3167d67f816e0487b3","E","EGNYG"
"LCDI","b5085482d16b7dcb9d3024b528c9fcc1","E","ELCDI"
"RWWZ","0d0c5d1f628b5993bf6a8e403f0e0108","E","ERWWZ"
"GQFW","8ac2ca01f0d15560bc62a911f769fd3f","E","EGQFW"
"QDUY","ad370087c009f005ec98bf79f77f58f5","E","EQDUY"
"WSCV","bf7773b20abcd684154019d841d31018","E","EWSCV"
"UJIU","22e5713aafe27119995a4c44aaf965dc","E","EUJIU"
"VYYG","b9ea8a7073e7fe7148509a00fb4492a6","E","EVYYG"
"XVUT","4744e1413494f3fb001810b9cf83f761","E","EXVUT"
"XGQZ","6e060f1b086af925a074da0d3eee6a16","E","EXGQZ"
"QIQH","030cfe6b898ef9015547c94d01a35ea2","E","EQIQH"
"WTJK","582ca3bf7caa6f21e10e85d4cd088306","E","EWTJK"
"PPCV","d0387f326f7bb6a170513f7a4e963fce","E","EPPCV"
"ZCAC","fe19f706b9545e5b7a10158ae3d03f5b","E","EZCAC"
"QRLJ","20102e41aae60d76f3371fe2f01aa760","E","EQRLJ"
"IWBE","d9a38c298f5b23f132727e5e5def9f60","E","EIWBE"
"GHDP","a9e912a94733404d25b882740f74e601","E","EGHDP"
"XIFZ","28fec322428fdebcfb4f72a8f4b79ec4","E","EXIFZ"
"NKSZ","71006bb40df7bfb83f6291b89ff8c78e","E","ENKSZ"
"ZEPE","ba78d4a4f40a5f2846d72d2885f58949","E","EZEPE"
"IFCO","0c529096479afd9cce3ace0504c20208","E","EIFCO"
"LPZJ","4663ad9a90f389b704e21dbeee0809c2","E","ELPZJ"
"HTOR","bcf34c698901c0bb2a673fe720eb52fd","E","EHTOR"
"NXZG","03e25d256587f28e45414cddbf897396","E","ENXZG"
"HZEM","3c9170f3b76dce7822df63f9d20d417d","E","EHZEM"
"GBME","3ac01e6d2bd116af0b5b318154681347","E","EGBME"
"XJPJ","2bfbc5a514c898f5dfb39a266e494976","E","EXJPJ"
"ZZVS","789ee06f4103e6d3088963a7bfa15559","E","EZZVS"
"ZJQM","173201d58d1ac81bc6fdb6b2df3a1eec","E","EZJQM"
"MCRB","ccba0f9a166e5db2621adfca2f31bbfd","E","EMCRB"
"OYJU","f2eaf7418eb6146b7e90016f263a7686","E","EOYJU"
"SOWK","6ce1a976e9d7b3f01cf83378ce1515dd","E","ESOWK"
"ARMZ","aef7786f37693dbe45335ccb458c8aa1","E","EARMZ"
"CCJH","8e2508f74e2bd9c12ba94722e1e60968","E","ECCJH"
"TSAW","f784510fa6debbb4d4d633c6c991d5ee","E","ETSAW"
"HODC","81f764c702b375ca1dea80e2708a1fd9","E","EHODC"
"EUAX","7520bd5725da1070414fe802db6937f4","E","EEUAX"
"DUGM","9dc6ceeff99497a761e43a76a0c418f8","E","EDUGM"
"ASVC","22a33b22d2950316760688c8a9613625","E","EASVC"
"BDRI","91f58518aac775f6b8dd1a7244be9f3f","E","EBDRI"
"TQTV","94974aba776a5886da6949ff6fcce9e1","E","ETQTV"
"AAFH","818c187a243ff3da4741a90f9b9d4f08","E","EAAFH"
"MNGP","a6c7d809ab26ee35405a777137640119","E","EMNGP"
"OBWB","ca9f4aa8da75726c714d01a18a85a658","E","EOBWB"
"QAES","5db9f6906d9eea41d107fcf632b6836c","E","EQAES"
"ZJBM","fc1544807af271bda2f8f6d8181a8d33","E","EZJBM"
"USPO","736ccf5dbb4f1f8d0520d366435dc670","E","EUSPO"
"JVTF","927c8e594d27cc47f58108100c88f3ca","E","EJVTF"
"QVXK","1a67d3a587d596be9d08a3e5a8f2e9f9","E","EQVXK"
"IDMW","39b493e22a2f310b2862c95f75cfe12a","E","EIDMW"
"IGEL","bb0e65bca6cf7f09268e1e642e89e865","E","EIGEL"
"FDRO","c8ce39ef1b88ea47c06c3bce8b47d51a","E","EFDRO"
"BTPV","d772e63433cd52ff3cf0f6148b1ddf65","E","EBTPV"
"XXAY","d4efbc9f1c5a96c617c8d09e3ead11f9","E","EXXAY"
"ZLEN","e4d38fcde9bad7ad1e1df7061807e705","E","EZLEN"
"LGBJ","5b4e1f9832fed7e62f4e7ab116f50ddf","E","ELGBJ"
"WLDJ","09d14ed495356656a47d55967cee23c2","E","EWLDJ"
"GWVD","2adf8cd27944895e187cff995ca0d5ec","E","EGWVD"
"HADR","3cb294763562af59d55c1c866c16e391","E","EHADR"
"XZUE","5494d7c6314492989864f34beafca514","E","EXZUE"
"KPUY","8562b9f19613aaa95df7415a36a0a73e","E","EKPUY"
"RKIX","034c78f435748f97e0b4a1607bc47532","E","ERKIX"
"HUUS","be49ae64e4973df54f04c59487558911","E","EHUUS"
"PDQJ","f20c60aa3eaf5efc84d059f92d0e26fe","E","EPDQJ"
"TNHA","8bd16c6010fa4a83d41fa52e7edd8885","E","ETNHA"
"BCLY","a7150eab05a721464e0b0a6b145451dc","E","EBCLY"
