"lga_id","state","lga","unique_lga","pop_2006","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga_2013","longitude","latitude"
46,"Lagos","Amuwo-Odofin","lagos_amuwo_odofin",318166,"Southwest",134.7728785,"Others",2360.75687884043,"lagos_amuwo_odofin",3.29025445016338,6.43351096130333
47,"Anambra","Anambra East","anambra_anambra_east",153331,"Southeast",250.7540066,"148",611.479760898066,"anambra_anambra_east",6.88214782530899,6.31362188559333
48,"Anambra","Anambra West","anambra_anambra_west",167416,"Southeast",953.9856429,"113",175.49111063252,"anambra_anambra_west",6.80967284725272,6.49862642017392
49,"Anambra","Anaocha","anambra_anaocha",285002,"Southeast",104.3814037,"Others",2730.39056668674,"anambra_anaocha",7.01660730039537,6.08971760619755
50,"Rivers","Andoni","rivers_andoni",211009,"South-South",232.8566638,"148",906.175483907281,"rivers_andoni",7.39424233140208,4.50097347312796
51,"Enugu","Aninri","enugu_aninri",133723,"Southeast",363.620773,"113",367.754017177671,"enugu_aninri",7.60421033520603,6.05010364822447
52,"Delta","Aniocha North","delta_aniocha_north",104711,"South-South",406.4548554,"Others",257.620246403384,"delta_aniocha_north",6.48129713269,6.36281289982514
53,"Delta","Aniocha South","delta_aniocha_south",140604,"South-South",868.3593697,"Others",161.919137290562,"delta_aniocha_south",6.48442862844641,6.1341721665579
54,"Zamfara","Anka","zamfara_anka",142280,"Northwest",2747.685621,"148",51.7817609527753,"zamfara_anka",5.98127147623281,11.9318609176278
55,"Kogi","Ankpa","kogi_ankpa",267353,"North-Central",1199.642852,"Others",222.860495150102,"kogi_ankpa",7.64192410269361,7.4393139370282
56,"Benue","Apa","benue_apa",96765,"North-Central",995.3105558,"Others",97.2209120420945,"benue_apa",7.87756934635066,7.62572395141191
57,"Lagos","Apapa","lagos_apapa",217362,"Southwest",26.69798227,"148",8141.51413398178,"lagos_apapa",3.36377557463511,6.44092660452812
58,"Benue","Ado","benue_ado",178882,"North-Central",1220.34734,"113",146.582857303561,"benue_ado",7.99371726320577,6.79823586293256
59,"Taraba","Ardo-Kola","taraba_ardo_kola",86921,"Northeast",2259.677362,"Others",38.4661108978265,"taraba_ardo_kola",11.1720614003752,8.81111659031351
60,"Kebbi","Arewa-Dandi","kebbi_arewa_dandi",184030,"Northwest",3905.053023,"148",47.1261206739318,"kebbi_arewa_dandi",4.05150414864324,12.753870182709
61,"Kebbi","Argungu","kebbi_argungu",195484,"Northwest",1296.852371,"Others",150.737280797245,"kebbi_argungu",4.41959769524283,12.6954334833517
62,"Abia","Arochukwu","abia_arochukwu",170206,"Southeast",524.2567225,"148",324.661549762006,"abia_arochukwu",7.80788493310128,5.51572904185091
